   41.106 INFO     Host "35.154.142.70" added to group "tag_Name_aviatrix_Mumbai_GW_172_31_5_171"
   41.112 INFO     Host "13.126.214.29" added to group "tag_Name_aviatrix_Mumbai_GW_A_172_31_31_153"
   41.119 INFO     Host "34.224.245.31" added to group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153"
   41.125 INFO     Host "34.193.109.28" added to group "tag_Name_aviatrix_nvirginia_1_172_31_5_171"
   41.131 INFO     Host "54.89.83.56" added to group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171"
   41.138 INFO     Host "54.91.231.196" added to group "tag_Name_Cvlt_mediaserver"
   41.144 INFO     Host "34.229.210.21" added to group "tag_Name_feb2_18"
   41.150 INFO     Host "13.127.13.202" added to group "tag_none"
   41.157 INFO     Host "34.224.245.31" added to group "tag_N_Virgina_GW_A_172_31_31_153_gateway"
   41.164 INFO     Host "34.193.109.28" added to group "tag_nvirginia_1_172_31_5_171_gateway"
   41.170 INFO     Host "54.89.83.56" added to group "tag_nvirginia_1_hagw_172_31_5_171_gateway"
   41.177 INFO     Host "34.225.52.141" added to group "tag_Project_Aviatrix"
   41.183 INFO     Host "54.91.231.196" added to group "type_m3_2xlarge"
   41.190 INFO     Host "34.229.210.21" added to group "type_m3_medium"
   41.196 INFO     Host "34.225.52.141" added to group "type_t2_large"
   41.203 INFO     Host "13.126.214.29" added to group "type_t2_micro"
   41.203 INFO     Host "13.127.13.202" added to group "type_t2_micro"
   41.203 INFO     Host "34.193.109.28" added to group "type_t2_micro"
   41.203 INFO     Host "34.224.245.31" added to group "type_t2_micro"
   41.204 INFO     Host "35.154.142.70" added to group "type_t2_micro"
   41.204 INFO     Host "35.176.36.6" added to group "type_t2_micro"
   41.204 INFO     Host "35.177.84.250" added to group "type_t2_micro"
   41.204 INFO     Host "52.56.209.184" added to group "type_t2_micro"
   41.204 INFO     Host "54.89.83.56" added to group "type_t2_micro"
   41.211 INFO     Host "34.193.109.28" added to group "us-east-1"
